timestamp,user_id,product_id,category,clicks,cart_adds,avg_price,time_on_page,hour_of_day,day_of_week,is_weekend,products_viewed,has_purchased_before,purchased
2025-01-01 00:00:00,user_00913,prod_0013,Beauty,2,1,88.62,80.11,0,2,0,8,0,1
2025-01-01 00:05:00,user_02254,prod_0126,Clothing,3,1,148.99,108.72,0,2,0,10,0,0
2025-01-01 00:10:00,user_01144,prod_0378,Electronics,1,0,347.35,32.52,0,2,0,2,1,0
2025-01-01 00:15:00,user_04468,prod_0045,Sports,4,0,111.66,221.86,0,2,0,4,0,0
2025-01-01 00:20:00,user_03457,prod_0017,Electronics,2,0,327.08,92.73,0,2,0,8,0,0
2025-01-01 00:25:00,user_00768,prod_0112,Clothing,10,1,90.16,248.14,0,2,0,13,0,0
2025-01-01 00:30:00,user_04140,prod_0309,Electronics,4,0,102.21,111.69,0,2,0,9,1,0
2025-01-01 00:35:00,user_04598,prod_0102,Beauty,2,0,62.71,58.29,0,2,0,14,0,0
2025-01-01 00:40:00,user_04465,prod_0215,Clothing,1,0,112.39,33.77,0,2,0,13,0,0
2025-01-01 00:45:00,user_03680,prod_0302,Home,1,0,50.78,50.41,0,2,0,9,0,0
2025-01-01 00:50:00,user_00054,prod_0389,Clothing,1,0,62.16,42.38,0,2,0,9,0,0
2025-01-01 00:55:00,user_03463,prod_0175,Home,1,0,62.36,35.94,0,2,0,9,0,0
2025-01-01 01:00:00,user_01274,prod_0111,Home,1,0,69.98,30.55,1,2,0,7,0,0
2025-01-01 01:05:00,user_00838,prod_0048,Books,1,0,36.89,46.41,1,2,0,8,0,0
2025-01-01 01:10:00,user_00793,prod_0184,Home,2,1,167.21,42.02,1,2,0,10,0,1
2025-01-01 01:15:00,user_04946,prod_0136,Electronics,3,0,376.38,168.7,1,2,0,14,0,0
2025-01-01 01:20:00,user_03764,prod_0275,Electronics,1,1,306.65,19.44,1,2,0,9,0,0
2025-01-01 01:25:00,user_03101,prod_0041,Sports,5,1,182.25,52.3,1,2,0,14,1,0
2025-01-01 01:30:00,user_02402,prod_0425,Beauty,1,0,56.98,18.94,1,2,0,8,0,0
2025-01-01 01:35:00,user_02963,prod_0296,Clothing,3,0,67.8,163.81,1,2,0,11,0,0
2025-01-01 01:40:00,user_00570,prod_0024,Beauty,3,0,18.71,179.18,1,2,0,14,1,0
2025-01-01 01:45:00,user_01867,prod_0396,Home,2,0,291.0,58.51,1,2,0,7,0,0
2025-01-01 01:50:00,user_00654,prod_0438,Clothing,2,0,140.9,45.42,1,2,0,10,1,0
2025-01-01 01:55:00,user_00828,prod_0195,Home,3,0,248.53,106.7,1,2,0,9,0,0
2025-01-01 02:00:00,user_03715,prod_0326,Home,1,0,37.46,26.41,2,2,0,10,0,0
2025-01-01 02:05:00,user_01333,prod_0190,Home,3,0,127.25,62.37,2,2,0,5,0,0
2025-01-01 02:10:00,user_01717,prod_0344,Home,1,0,65.84,29.94,2,2,0,3,0,0
2025-01-01 02:15:00,user_00585,prod_0312,Beauty,1,1,36.27,37.46,2,2,0,9,0,1
2025-01-01 02:20:00,user_01402,prod_0274,Beauty,10,1,79.42,107.2,2,2,0,14,0,1
2025-01-01 02:25:00,user_02006,prod_0084,Books,2,1,42.28,84.98,2,2,0,10,0,0
2025-01-01 02:30:00,user_03109,prod_0139,Beauty,1,0,21.0,42.12,2,2,0,1,1,0
2025-01-01 02:35:00,user_04563,prod_0113,Beauty,4,0,84.74,170.3,2,2,0,11,0,0
2025-01-01 02:40:00,user_02657,prod_0432,Electronics,1,0,137.78,50.72,2,2,0,9,0,0
2025-01-01 02:45:00,user_01877,prod_0421,Electronics,2,1,115.67,77.59,2,2,0,3,0,0
2025-01-01 02:50:00,user_02585,prod_0206,Home,4,0,145.83,220.51,2,2,0,14,0,0
2025-01-01 02:55:00,user_00543,prod_0109,Sports,1,0,192.44,34.13,2,2,0,10,0,0
2025-01-01 03:00:00,user_02578,prod_0109,Beauty,1,0,57.03,12.88,3,2,0,10,0,0
2025-01-01 03:05:00,user_04090,prod_0203,Beauty,2,0,74.58,27.28,3,2,0,2,1,1
2025-01-01 03:10:00,user_03759,prod_0074,Home,2,0,267.7,55.02,3,2,0,12,0,0
2025-01-01 03:15:00,user_01144,prod_0127,Beauty,3,0,19.79,47.82,3,2,0,13,0,0
2025-01-01 03:20:00,user_04599,prod_0276,Home,3,0,52.38,176.69,3,2,0,13,0,0
2025-01-01 03:25:00,user_04789,prod_0220,Sports,2,1,135.14,65.45,3,2,0,5,0,0
2025-01-01 03:30:00,user_03272,prod_0186,Clothing,3,1,27.52,127.03,3,2,0,8,0,0
2025-01-01 03:35:00,user_01134,prod_0261,Books,1,1,22.38,18.13,3,2,0,14,0,0
2025-01-01 03:40:00,user_00745,prod_0387,Electronics,2,0,467.67,97.76,3,2,0,2,1,0
2025-01-01 03:45:00,user_00899,prod_0079,Beauty,3,0,38.24,38.46,3,2,0,6,0,0
2025-01-01 03:50:00,user_01311,prod_0406,Beauty,3,1,32.43,67.72,3,2,0,13,0,1
2025-01-01 03:55:00,user_03459,prod_0306,Electronics,3,0,243.27,157.83,3,2,0,6,1,1
2025-01-01 04:00:00,user_03153,prod_0196,Sports,4,0,165.88,163.45,4,2,0,2,0,0
2025-01-01 04:05:00,user_03835,prod_0271,Home,2,0,168.78,106.24,4,2,0,5,0,0
2025-01-01 04:10:00,user_04533,prod_0441,Electronics,4,0,126.49,108.31,4,2,0,9,0,0
2025-01-01 04:15:00,user_00939,prod_0350,Sports,2,0,115.17,80.19,4,2,0,3,0,0
2025-01-01 04:20:00,user_02186,prod_0394,Beauty,1,0,57.79,44.52,4,2,0,9,0,0
2025-01-01 04:25:00,user_02787,prod_0058,Home,3,0,30.7,177.94,4,2,0,8,0,0
2025-01-01 04:30:00,user_03562,prod_0081,Books,2,0,38.53,73.21,4,2,0,13,1,0
2025-01-01 04:35:00,user_00027,prod_0489,Beauty,2,0,60.5,43.32,4,2,0,13,0,0
2025-01-01 04:40:00,user_02158,prod_0498,Sports,4,0,100.54,96.76,4,2,0,6,1,0
2025-01-01 04:45:00,user_01464,prod_0260,Electronics,1,0,232.14,52.54,4,2,0,14,0,0
2025-01-01 04:50:00,user_02445,prod_0431,Beauty,5,0,97.4,266.38,4,2,0,6,1,0
2025-01-01 04:55:00,user_04159,prod_0312,Clothing,3,1,89.55,136.64,4,2,0,4,0,1
2025-01-01 05:00:00,user_01253,prod_0192,Clothing,1,0,95.56,26.83,5,2,0,10,0,0
2025-01-01 05:05:00,user_04419,prod_0489,Sports,1,0,107.8,49.71,5,2,0,1,1,0
2025-01-01 05:10:00,user_00005,prod_0307,Home,2,1,132.39,98.15,5,2,0,11,0,1
2025-01-01 05:15:00,user_04003,prod_0010,Electronics,1,0,425.83,50.83,5,2,0,7,0,0
2025-01-01 05:20:00,user_02974,prod_0450,Home,3,0,125.95,64.35,5,2,0,7,0,0
2025-01-01 05:25:00,user_01962,prod_0030,Clothing,3,0,123.22,52.75,5,2,0,1,0,0
2025-01-01 05:30:00,user_04648,prod_0485,Electronics,1,0,385.63,32.85,5,2,0,4,0,0
2025-01-01 05:35:00,user_00702,prod_0375,Books,1,0,37.76,27.28,5,2,0,11,1,0
2025-01-01 05:40:00,user_00567,prod_0390,Sports,1,0,42.64,46.3,5,2,0,11,1,0
2025-01-01 05:45:00,user_01031,prod_0066,Beauty,3,1,77.6,170.16,5,2,0,6,1,1
2025-01-01 05:50:00,user_03894,prod_0485,Sports,1,0,64.79,28.97,5,2,0,5,0,0
2025-01-01 05:55:00,user_01353,prod_0136,Sports,1,0,85.72,32.61,5,2,0,11,0,0
2025-01-01 06:00:00,user_04970,prod_0217,Clothing,1,0,24.4,20.63,6,2,0,1,0,0
2025-01-01 06:05:00,user_04418,prod_0387,Beauty,1,0,78.75,20.5,6,2,0,3,0,0
2025-01-01 06:10:00,user_01648,prod_0366,Home,3,0,109.39,102.16,6,2,0,14,0,0
2025-01-01 06:15:00,user_03269,prod_0344,Beauty,1,1,17.16,17.81,6,2,0,2,1,1
2025-01-01 06:20:00,user_03060,prod_0225,Sports,3,0,124.65,113.51,6,2,0,8,0,0
2025-01-01 06:25:00,user_03699,prod_0062,Clothing,3,1,71.63,31.95,6,2,0,7,0,0
2025-01-01 06:30:00,user_01841,prod_0033,Home,1,1,275.87,28.15,6,2,0,7,0,0
2025-01-01 06:35:00,user_00173,prod_0302,Sports,2,0,49.52,68.74,6,2,0,14,0,0
2025-01-01 06:40:00,user_01886,prod_0302,Clothing,2,0,110.85,33.23,6,2,0,13,0,0
2025-01-01 06:45:00,user_00059,prod_0037,Beauty,1,1,85.53,20.32,6,2,0,10,0,1
2025-01-01 06:50:00,user_00483,prod_0118,Electronics,1,0,200.29,48.55,6,2,0,14,0,0
2025-01-01 06:55:00,user_00258,prod_0441,Home,3,0,135.11,74.57,6,2,0,3,1,0
2025-01-01 07:00:00,user_00581,prod_0264,Clothing,10,0,55.09,577.62,7,2,0,11,0,0
2025-01-01 07:05:00,user_02282,prod_0343,Books,1,0,27.39,49.97,7,2,0,12,1,1
2025-01-01 07:10:00,user_01756,prod_0277,Clothing,1,0,145.07,57.91,7,2,0,3,0,0
2025-01-01 07:15:00,user_04678,prod_0296,Books,3,0,18.85,35.91,7,2,0,10,0,0
2025-01-01 07:20:00,user_01991,prod_0402,Books,3,0,17.7,149.3,7,2,0,14,0,0
2025-01-01 07:25:00,user_03335,prod_0098,Electronics,2,0,360.07,64.1,7,2,0,7,0,0
2025-01-01 07:30:00,user_00795,prod_0338,Books,2,0,34.63,107.01,7,2,0,14,0,0
2025-01-01 07:35:00,user_02903,prod_0217,Books,2,1,13.54,78.08,7,2,0,12,1,0
2025-01-01 07:40:00,user_03826,prod_0443,Beauty,2,0,40.19,43.36,7,2,0,9,0,0
